file_id,audio_path,dataset,shard
0000c0f43b,asr_nepali_1/data/00/0000c0f43b.flac,asr_nepali_1,00
00014b6780,asr_nepali_1/data/00/00014b6780.flac,asr_nepali_1,00
0001b0e4b4,asr_nepali_1/data/00/0001b0e4b4.flac,asr_nepali_1,00
0001cf394a,asr_nepali_1/data/00/0001cf394a.flac,asr_nepali_1,00
00024e9ee7,asr_nepali_1/data/00/00024e9ee7.flac,asr_nepali_1,00
0002f96e3e,asr_nepali_1/data/00/0002f96e3e.flac,asr_nepali_1,00
00033e7a6c,asr_nepali_1/data/00/00033e7a6c.flac,asr_nepali_1,00
0003991b47,asr_nepali_1/data/00/0003991b47.flac,asr_nepali_1,00
000414cbb9,asr_nepali_1/data/00/000414cbb9.flac,asr_nepali_1,00
00045ee2e0,asr_nepali_1/data/00/00045ee2e0.flac,asr_nepali_1,00
0004a4f6e2,asr_nepali_1/data/00/0004a4f6e2.flac,asr_nepali_1,00
000515a639,asr_nepali_1/data/00/000515a639.flac,asr_nepali_1,00
0005b1aae1,asr_nepali_1/data/00/0005b1aae1.flac,asr_nepali_1,00
00061584d8,asr_nepali_1/data/00/00061584d8.flac,asr_nepali_1,00
00062958ef,asr_nepali_1/data/00/00062958ef.flac,asr_nepali_1,00
00064ab0f0,asr_nepali_1/data/00/00064ab0f0.flac,asr_nepali_1,00
00064cff78,asr_nepali_1/data/00/00064cff78.flac,asr_nepali_1,00
00083ac4d8,asr_nepali_1/data/00/00083ac4d8.flac,asr_nepali_1,00
0008fd3262,asr_nepali_1/data/00/0008fd3262.flac,asr_nepali_1,00
00097747cd,asr_nepali_1/data/00/00097747cd.flac,asr_nepali_1,00
0009e14baa,asr_nepali_1/data/00/0009e14baa.flac,asr_nepali_1,00
000a0be2c6,asr_nepali_1/data/00/000a0be2c6.flac,asr_nepali_1,00
000a660d92,asr_nepali_1/data/00/000a660d92.flac,asr_nepali_1,00
000a7465af,asr_nepali_1/data/00/000a7465af.flac,asr_nepali_1,00
000b463c49,asr_nepali_1/data/00/000b463c49.flac,asr_nepali_1,00
